"Year","Month","Day","Sampling_date_order","plot","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
2010,2,13,2,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,2,13,2,14,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,22,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,2,13,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,13,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,3,13,3,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,3,13,3,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,3,13,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,3,13,3,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,3,13,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,4,17,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,4,17,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,4,17,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,4,17,4,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,4,17,4,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,4,17,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,4,17,4,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,4,17,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,4,17,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,4,17,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,4,17,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,4,17,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,17,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,5,15,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,5,15,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,5,15,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,5,15,5,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,5,15,5,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,5,15,5,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,5,15,5,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,5,15,5,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,5,15,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,5,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,5,15,5,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,15,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,10,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,7,10,6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,7,10,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2010,7,10,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,7,10,6,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,7,10,6,11,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,7,10,6,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,10,6,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,7,10,6,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,7,10,6,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,10,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
2010,7,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,7,10,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,7,10,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,7,10,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,7,10,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,7,10,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,7,10,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,7,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,10,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,7,10,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,10,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,10,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,10,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2010,9,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2010,9,5,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2010,9,5,7,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2010,9,5,7,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,9,5,7,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2010,9,5,7,12,0,3,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2010,9,5,7,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2010,9,5,7,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2010,9,5,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,9,5,7,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0
2010,9,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2010,9,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,9,5,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,9,5,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2010,9,5,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,9,5,7,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2010,9,5,7,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0
2010,9,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,5,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,9,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,5,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,5,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,5,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,6,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,11,6,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,11,6,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2010,11,6,8,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,11,6,8,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,11,6,8,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,6,8,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,11,6,8,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,6,8,17,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2010,11,6,8,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,11,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,11,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,11,6,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,11,6,8,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,6,8,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,11,6,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,11,6,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2010,11,6,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010,11,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,11,6,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,6,8,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,11,6,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,6,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2010,11,6,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,1,5,9,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,11,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,17,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,1,5,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,5,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,9,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,5,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011,3,14,11,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,3,14,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,3,14,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011,3,14,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,3,14,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,14,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,3,14,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011,3,14,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,3,14,11,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
